code,positive,seed,n,k,status,left,right,error
3q_rep,False,94,3,1,success,css:|110/011,stb:000110/001010,
5q_prf,True,89,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1101101001/0101000101/1001011011/0111101010,
5q_prf,True,773,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:0101010100/1000100110/0010111000/1011110001,
5q_prf,True,654,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1000110111/1100000011/0111100101/0010101010,
5q_prf,True,438,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1110110001/1000101100/0111101010/1101101001,
5q_prf,True,433,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001001001/1000100110/0110000011/1100011101,
5q_prf,True,858,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:0010111101/0001110100/1010010111/0100101111,
5q_prf,True,85,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:0001101100/0011010001/0110001111/1111010100,
5q_prf,True,697,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1100000011/0001111011/0101010100/1010011110,
5q_prf,True,201,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:0011001001/1110110001/0100101111/0001111011,
5q_prf,True,94,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1110101100/1000111101/1101100011/0111101001,
5q_prf,False,89,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1000011110/0101100100/1011010001/0100010011,
5q_prf,False,773,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001001100/0100100010/1010000010/0101010001,
5q_prf,False,654,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001001110/0100100110/1010000011/0101010011,
5q_prf,False,438,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001001100/1100100110/1010000011/1101011001,
5q_prf,False,433,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1101000100/0100101110/1010000011/0101011001,
5q_prf,False,858,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001010100/0110101110/1010010011/0111010001,
5q_prf,False,85,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1000001110/0101100100/1011000001/0100010011,
5q_prf,False,697,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001010110/0100110110/1010001001/0101010001,
5q_prf,False,201,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001001101/0000100110/1010000011/0101010001,
5q_prf,False,94,5,1,success,stb:1001001100/0100100110/1010000011/0101010001,stb:1001011010/0100100110/1010000011/0101000101,
steane,True,89,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0101110/1001011/0011101|0101110/1100101/1010110,
steane,True,773,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0010111/1001011/0111001|0101110/0010111/1110010,
steane,True,654,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:1000111/1011010/0110011|1110100/0101110/1000111,
steane,True,438,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:1111000/0101110/1100101|1001011/0110011/0011101,
steane,True,433,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:1011001/1010110/0111010|1101100/0111010/0110101,
steane,True,858,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0110101/0011110/1011001|0011110/0101011/1000111,
steane,True,85,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0110110/1100101/1101010|0111001/1101010/1100101,
steane,True,697,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:1101010/0111100/0001111|0111100/1101010/0001111,
steane,True,201,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0110110/1010011/1011100|0001111/1101010/1010011,
steane,True,94,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,css:0101101/1011100/0110110|1011100/0101101/0110110,
steane,False,89,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00010110000100/01100110000000/10100011000100/00001000001011/00000000110011/00001001010001,
steane,False,773,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011110000101/01100110000100/10101010000101/00000000001111/00000000110011/00000001010101,
steane,False,654,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011110000100/01100110000000/10101010000100/00000000001111/00000000110011/00000001010101,
steane,False,438,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011110000000/11100110000000/10101010000000/00000000001111/00000000110011/00000001110101,
steane,False,433,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011110000000/00100110110000/10101010010000/00000000001111/01000000010011/00000001010101,
steane,False,858,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011110000000/01110110100000/10111010000000/00000000011111/00000000110011/00000001010101,
steane,False,85,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011010000010/01100010000010/10101010000000/00000100001101/00000100110001/00000001010101,
steane,False,697,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011111000000/01100110000000/10101010100010/00000000001111/00000000110011/00000001010101,
steane,False,201,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00111110000000/01000110000000/10001010000000/00000000001111/00000000110010/00000001010100,
steane,False,94,7,1,success,css:0001111/0110011/1010101|0001111/0110011/1010101,stb:00011111000101/01100111000100/10101010000111/00000000001111/00000000110011/00000001010101,
shor,True,89,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:111100101/001111110|110000000/010100101/000100100/001101010/110001010/110110110,
shor,True,773,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:111010011/101111100|110111001/100111011/001010011/000100111/101000000/010101001,
shor,True,654,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:111001101/010111110|110010111/000101110/000010010/011100111/001110001/101000000,
shor,True,438,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:101101110/110010111|111100101/011001001/111100011/110101101/110111010/100010101,
shor,True,433,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:111001101/010110111|100001000/011011110/101100111/100001101/001111101/110001100,
shor,True,858,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:101100111/110011101|001011010/101000011/101100001/001000111/110101011/100100011,
shor,True,85,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:111011001/101110110|001110100/010100101/101001001/101000000/000101101/010100011,
shor,True,697,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:101111001/110010111|101100111/000000110/011011011/101011110/001001110/000010001,
shor,True,201,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:110100111/101111100|000111100/001001011/101101000/001010000/111101001/101010111,
shor,True,94,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,css:011011110/100111101|100110100/100101100/000101101/000010100/111110100/110001111,
shor,False,89,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000100000000/111000011100000100/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000100000000010/000000100000000001,
shor,False,773,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000000000001/111000111000001000/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
shor,False,654,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000000001000/111000111000000000/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
shor,False,438,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:011111000000000000/011000111000000000/000000000111000000/000000000100000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
shor,False,433,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:110111000001100000/110000111001000000/000000000110000000/001000000100000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
shor,False,858,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111101000010000000/111000111010000000/000000000110000000/000000000101000000/000000000000010000/000000000000101000/000000000000000110/000000000000000101,
shor,False,85,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000000000000/111000011000000100/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000100000000010/000000100000000001,
shor,False,697,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000011000100/111000111111000100/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
shor,False,201,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111011000000000000/111100111000000000/000000000110000000/000000000101000000/000000000001110000/000000000001101000/000000000000000110/000000000000000101,
shor,False,94,9,1,success,css:111111000/111000111|110000000/101000000/000110000/000101000/000000110/000000101,stb:111111000000000110/111000111010001010/000000000110000000/000000000101000000/000000000000110000/000000000000101000/000000000000000110/000000000000000101,
carbon,True,89,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:111011100000/011100001000/001111000011/110101010001/111111111111|110001101001/001111100100/000110101011/101010111000/001000111101,
carbon,True,773,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:101011100001/001111110110/111000111011/100011010011/000010111101|011001001110/101001000111/001000110010/010010010111/110111001101,
carbon,True,654,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:110000110101/000111110100/110110100010/111001101000/011011000101|110011100100/101011001001/110101001010/010011111011/001100011011,
carbon,True,438,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:111111111111/101101001001/110111000010/110100100011/000100001110|100001011101/010011011010/101011001010/010100110101/001001110110,
carbon,True,433,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:000011011011/101100011001/010011100110/000111001101/001010110101|001111010001/100110001011/111011101001/111111111111/001100101101,
carbon,True,858,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:100111010001/111100001010/010110111000/111100010001/101001011100|001110101010/101101001001/010010101101/111000111000/011100011100,
carbon,True,85,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:110001110010/010100101110/110011001100/001111100100/000011010111|110100001101/001100111100/100011110100/001101010101/110010101010,
carbon,True,697,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:101001011111/010011011010/110100010011/101100100101/010110111101|001100101110/101001011111/000000011101/011010001110/001111000101,
carbon,True,201,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:011000010010/011111010110/111100001100/110110000011/101010100110|100010010111/111101000001/001110100011/001100011101/011000010010,
carbon,True,94,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,css:011010110001/011011001100/111100010100/110000111010/110011010001|101011110110/100110101010/100011001101/111000001110/110111000100,
carbon,False,89,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000110000100000001000/001110000110000000001000/100011100011100000000000/111111000000100000000000/000000110111000000001000/000000000000001111010100/000000001000100010110001/000000000000111001100010/000000001000100111000010/000000000000011000110101,
carbon,False,773,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000000000000001/001110001110000000000000/100011100011000000010000/111111000000000000000000/000000111111000000010001/000000000000001111010100/000000000000100010111001/000000000000111001100010/000000000000100111001010/000000000000011000110101,
carbon,False,654,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000000000010000/001110001110000000000000/100011100011000000000000/111111000000000000000000/000000111111000000010000/000000000000001111010100/000000000000100010111001/000000000000111001100010/000000000000100111001010/000000000000011000110101,
carbon,False,438,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:101000111000000000000000/011110001110000000000000/100011100011000000000000/101111000000000000000000/000000111111000000000000/000000000000001111010100/000000000000100010111001/000000000000110001100010/000000000000100111001010/000000000000010000110101,
carbon,False,433,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:110000111000001000000000/000110001110001010000000/100011100011000010000000/110111000000001010000000/000000111111000000000000/001000000000000111010100/000000000000100010111001/001000000000110001100010/000000000000100111001010/001000000000010000110101,
carbon,False,858,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000001000000000/001111001110001000000000/100010100011000000000000/111110000000001000000000/000000111111000000000000/000000000000001101010100/000000000000100010111001/000000000000111011100010/000000000000100101001010/000000000000011000110101,
carbon,False,85,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000000000000000/001110001010000000000100/100011100011000000000000/111111000000000000000000/000000111011000000000100/000000000100001111010000/000000000000100010111001/000000000000111001100010/000000000000100111001010/000000000100011000110001,
carbon,False,697,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000011000000100/001110001110110000000000/100011100011000000000100/111111000000011000000100/000000111111100000000000/000000000000001111010100/000000000000100010111001/000000000000111001100010/000000000000100111001010/000000000000011000110101,
carbon,False,201,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000000000000000/001100001110000000000000/100011100011000000000000/111101000000000000000000/000000111111000000000000/000000000000001011010100/000000000000100110111001/000000000000111001100010/000000000000100011001010/000000000000011000110101,
carbon,False,94,12,2,success,css:111000111000/001110001110/100011100011/111111000000/000000111111|001111010100/100010111001/111001100010/100111001010/011000110101,stb:111000111000000000011100/001110001110010000010000/100011100011000000000000/111111000000000000000100/000000111111010000011000/000000000000001111010100/000000000000100010111001/000000000000111001100010/000000000000100111001010/000000000000011000110101,
hamming_15,True,89,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:101101100110010/101001011100101/011000001111011/111010111000010|001111010001011/101101100110010/111010111000010/111110000010101,
hamming_15,True,773,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:001101101110001/010010011111001/001001010101111/100011111000011|001001010101111/101110010110010/100011111000011/011111110001000,
hamming_15,True,654,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:011010101001101/110001101101010/110010010111001/111110001010010|010101001110101/101000111110100/011010101001101/011001010011110,
hamming_15,True,438,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:101100101000111/011000100111110/111001111001000/001110011011010|110111100010010/011011001010101/110100001111001/111010010100011,
hamming_15,True,433,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:011110011100100/100011111001100/101101011000011/011011101010010|000101110110110/110110110010001/010000111101011/111000010011110,
hamming_15,True,858,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:010011001111001/111100011110000/110101100100101/001110100110011|100110101011100/010011001111001/011010110101100/000111011100110,
hamming_15,True,85,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:001111001011001/001110100100111/100011110001101/010101011100101|101101010101010/001110100100111/011010010111100/010101011100101,
hamming_15,True,697,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:011000111011001/110110010111000/000010001111111/001101011101100|110110010111000/001111010010011/100011110001101/110100011000111,
hamming_15,True,201,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:100110101011010/101101000101011/111100001010101/001101111001100|111010011101000/010001001111110/010111011000011/011010100001111,
hamming_15,True,94,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,css:110010011101010/110111000011100/010011111000101/101010001010111|010011111000101/101010001010111/100100111011001/101111010100001,
hamming_15,False,89,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011101111000000000010000/000111100001111000000000000000/011001100100011000000000010000/101010101000101100000000010000/000000000010000000000011101111/000000000000000000111100001111/000000000010000011001100100011/000000000010000101010101000101,
hamming_15,False,773,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000100010/000111100001111000000000100000/011001100110011000000000100010/101010101010101000000000000000/000000000000000000000011111111/000000000000000000111100001111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,654,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000100000/000111100001111000000000000000/011001100110011000000000100000/101010101010101000000000000000/000000000000000000000011111111/000000000000000000111100001111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,438,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000000000/010111100001111000000000000000/011001100110011000000000000000/101010101010101000000000000000/000000000000000000000011111111/000000000000000000111100001111/000000000000000011101100110011/000000000000000101010101010101,
hamming_15,False,433,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000000000/000011100001111000101000000000/011001100110011000001000000000/101010101010101000000000000000/000000000000000000000011111111/000100000000000000011100001111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,858,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000000000/000111110001111000000000000000/011001110110011001000000000000/101010101010101001000000000000/000000000000000000001011111111/000000000000000000111100001111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,85,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011110111000000000001000/000111100000111000000000001000/011001100110011000000000000000/101010101010101000000000000000/000000000001000000000011110111/000000000001000000111100000111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,697,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111100000000000000/000111100001111110000000000000/011001100110011000100000000000/101010101010101000000000001000/000000000000000000000011111111/000000000000000000111100001111/000000000000000011001100110011/000000000000000101010101010101,
hamming_15,False,201,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111000000000000000/000111000001111000000000000000/011001100110011000000000000000/101010001010101000000000000000/000000000000000000000011111111/000000000000000000101100001111/000000000000000011011100110011/000000000000000101000101010101,
hamming_15,False,94,15,7,success,css:000000011111111/000111100001111/011001100110011/101010101010101|000000011111111/000111100001111/011001100110011/101010101010101,stb:000000011111111010000000110000/000111100001111010000000000000/011001100110011000000000110100/101010101010101010000000100000/000000000000000000000011111111/000000000000000000111100001111/000000000000000011001100110011/000000000000000101010101010101,
15q_optimal,True,89,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:000011100101111011100010101000/001110010010010001011011001011/001010100000010010101001101101/000111001010010110011010000001/010010001101001001000011100000/000011010000010011110000100010/100101001010100011111100101011/000100000000010001110000111011/001001011000101000000011101000/011111011000010001000110001000/010000011001110001100010100011/001111011001001001011001100010,
15q_optimal,True,773,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:000110101110000001101101011001/100101000010101000101101100010/110000000000011111111100111011/100100001001000000101101000101/001101110010000101101010001000/101101000111001001000101110111/101000010101111011001000100110/100000000101100001101101001110/010100100101001100010001001101/011101110000110101111110010101/010001010100101100101111100001/100101111111111000101001010110,
15q_optimal,True,654,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:101111111100010100000100101011/011010100000011111111110100111/000101100101010010000001011011/000011001001000001110101000001/100101001001010100001000001111/110001001110000101011010001011/111000000110100101000010101100/110010001000000011101111100000/101001100011110011000100110010/101101100101010101001010100100/100011111100010111110110100110/110000001001011111001100101010,
15q_optimal,True,438,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:000100111110101111110001100100/010010011010001001000011000100/000111110100000010100110110000/011001010110000001100101010100/100111100111000010100101000110/001111101101110000000111110100/111001100101010100011101010110/000010001110000100110110010110/001011100001100010100010100000/011001010111010000010100000101/000110011100100010010010101100/101001011111000100100000010010,
15q_optimal,True,433,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:000000000111100110010011000001/011000100111101011010000110010/100001010001101000010001001001/000010011101010010000010110101/011101111011100011001001111010/001111100001110001101000010011/100110011110111000000100001000/100100000001111000111110001110/010101001010100010001000010111/001100101101000101110001001000/110100110011100010110011011100/010100010111000011010000001101,
15q_optimal,True,858,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:001101001100010111010000101101/100101001000101100001010001000/010101011001110101110011111111/100100111011111101100111110000/100000001100001111110010000011/010001011111111001000101111000/101100010001001110010000001000/011000000111001010110011101001/110100110000111000011001001101/010000111110011010001000100111/001000010111001110000111111000/001110000000001001010110011000,
15q_optimal,True,85,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:010101001000110000010100010111/101101010001000001111011100100/100010000011110001110100000101/000010100101011001110101000111/001100001100000011000111000111/001001100100110000010101100110/100110101001101001001000100010/001100101100111001010101010010/001101000111000000000101000110/101100000100011010110000000001/101010000100101100110100000000/100010101100100011010001101101,
15q_optimal,True,697,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:000001010100001000001011011010/110000110110000100000011111000/110000111000010111000101001101/110001100000110011001011101111/110000001010110110100100111010/101000001101010000101110111100/100010010111000100001111000001/011001011101100101100100000110/100001110111010000010111011000/000101110100010001100000001111/100000011111000010000101001000/010000010100100111001110001001,
15q_optimal,True,201,15,3,success,stb:100000000101010000000011111001/000000011111001100000011010011/010000011110010000000111111101/000000111111101010000100001111/001000010011110000000101111111/000000101111111001000111100001/000100010101000000000100111110/000000100111110000100110010110/000010001010100000000010011111/000000010011111000010011001011/000001011001101000000111001110/000000111001110000001100000011,stb:010001001101010110011111000010/110010100100010000100100010010/000010111011000000110010111000/111001111010000000100111110000/110001000011010100100100010000/100011101101100010110100010001/011011000111010100100010001110/000100101100000000010111011000/101010011110010001110101110010/100110100010100001000100011000/000100100011011100110111010010/000111111010010101100101011001,
